#blinkered/attestations/2 language=hy words=19341 sources=10 built=2026-09-23 digest=596f18dc05d5bf10
#tokens ia=1269102 lz:hye_newscrawl_2011_100K=124240 lz:hye-am_web_2013_1M=3363859 lz:hye-am_web_2017_1M=2088594 tat=176593 web:aravot.am=151285 web:azatutyun.am=5170 web:granish.org=283127 web:hetq.am=598 wiki:hy=110307029
ԱՅՍ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:azatutyun.am,web:granish.org,wiki:hy	5311,705,21047,13664,1452,1343,71,2317,220368	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/hy/news/2011/02/11/galstyan2/index43b3.html lz:hye_newscrawl_2011_100K:http://www.panorama.am/am/search/2008/05/26/index.html lz:hye-am_web_2013_1M:http://www.list.am/item/3399939?lc=1 lz:hye-am_web_2013_1M:http://gov.am/am/press-kiosk/page/29/ lz:hye-am_web_2017_1M:http://www.qahana.am/am/holidays/2020-06-16/1 lz:hye-am_web_2017_1M:http://www.qahana.am/am/holidays/2013-02-07/1 tat:2844225 tat:2854202 web:aravot.am:https://www.aravot.am/ web:aravot.am:https://www.aravot.am/about/ web:azatutyun.am:https://azatutyun.am/a/33862954.html web:azatutyun.am:https://azatutyun.am/a/33863010.html web:granish.org:https://granish.org/ears-cut-off/ web:granish.org:https://granish.org/apple-worm/ wiki:hy:800 wiki:hy:1033
ՀԱՄԱՐ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:azatutyun.am,web:granish.org,web:hetq.am,wiki:hy	4967,730,25154,15319,658,2640,67,2850,7,491712	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/am/news/2011/05/12/ashotyan-on-exams/index43b3.html lz:hye_newscrawl_2011_100K:http://www.tert.am/blog/indexd4c3.html lz:hye-am_web_2013_1M:http://www.ideal.am/a-register/referer-mr_t85 lz:hye-am_web_2013_1M:http://orakarg.am/2013/04/12/%d5%ba%d5%a5%d5%af-%d5%ab-%d5%b0%d5%a5%d5%bf-%d5%b0%d5%a1%d5%b4%d5%a1%d5%a3%d5%b8%d6%80%d5%ae%d5%a1%d5%af%d6%81%d5%b8%d6%82%d5%a9%d5%b5%d5%a1%d5%b6-%d5%b6%d5%b8%d6%80-%d6%83%d5%b8%d6%82%d5%ac-%d5%a5/ lz:hye-am_web_2017_1M:http://www.qahana.am/am/holidays/2022-08-02/1 lz:hye-am_web_2017_1M:http://zham.am/?p=6306=am tat:2844219 tat:2853475 web:aravot.am:https://www.aravot.am/ web:aravot.am:https://www.aravot.am/about/ web:azatutyun.am:https://azatutyun.am/a/33862954.html web:azatutyun.am:https://azatutyun.am/a/33863010.html web:granish.org:https://granish.org/ears-cut-off/ web:granish.org:https://granish.org/apple-worm/ web:hetq.am:https://hetq.am/hy wiki:hy:800 wiki:hy:1027
ՀԵՏ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:azatutyun.am,web:granish.org,web:hetq.am,wiki:hy	5041,642,16155,10074,1492,4328,59,2568,10,404834	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/am/news/2011/04/06/government/index.html lz:hye_newscrawl_2011_100K:http://www.tert.am/am/news/2011/02/13/cairomuseum/index.html lz:hye-am_web_2013_1M:http://www.torrents.am/download-torrent/5436808/2/0/Httrack%20website%20copier%203.44.1.html lz:hye-am_web_2013_1M:http://www.azatutyun.am/archive/news/20140127/2031/2031.html?id=25250800 lz:hye-am_web_2017_1M:http://tsayg.am/mainpage/9048-gc-ssl-sp-p-inseu-l-.html lz:hye-am_web_2017_1M:http://success.am/2012/08/05/%d5%b3%d5%a1%d5%b6%d5%a1%d5%ba%d5%a1%d6%80%d5%b0-%d5%a4%d5%a5%d5%ba%d5%ab-%d5%a5%d6%80%d5%bb%d5%a1%d5%b6%d5%af%d5%b8%d6%82%d5%a9%d5%b5%d5%b8%d6%82%d5%b6/ tat:2852331 tat:3620786 web:aravot.am:https://www.aravot.am/ web:aravot.am:https://www.aravot.am/about/ web:azatutyun.am:https://azatutyun.am/a/33862954.html web:azatutyun.am:https://azatutyun.am/a/33863010.html web:granish.org:https://granish.org/ears-cut-off/ web:granish.org:https://granish.org/apple-worm/ web:hetq.am:https://hetq.am/hy wiki:hy:800 wiki:hy:1027
ԱՅԴ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:azatutyun.am,web:granish.org,web:hetq.am,wiki:hy	6977,852,19615,11226,568,94,51,3107,1,251375	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/am/news/2011/04/06/government/index.html lz:hye_newscrawl_2011_100K:http://www.tert.am/blog/indexf9ae.html lz:hye-am_web_2013_1M:http://orakarg.am/2012/03/23/rihanna/ lz:hye-am_web_2013_1M:http://www.tert.am/am/news/2014/03/25/scythian/ lz:hye-am_web_2017_1M:http://www.yerkir.am/news/view/122156.html lz:hye-am_web_2017_1M:http://www.cdpf.am/am/news351/ tat:1518868 tat:2844140 web:aravot.am:https://www.aravot.am/ web:aravot.am:https://www.aravot.am/about/ web:azatutyun.am:https://azatutyun.am/a/33862954.html web:azatutyun.am:https://azatutyun.am/a/33863010.html web:granish.org:https://granish.org/ears-cut-off/ web:granish.org:https://granish.org/apple-worm/ web:hetq.am:https://hetq.am/hy wiki:hy:800 wiki:hy:1033
ԱՅՆ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:azatutyun.am,web:granish.org,web:hetq.am,wiki:hy	5801,593,14789,9618,597,858,51,3239,1,338298	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/hy/world/2011/05/06/index43b3.html lz:hye_newscrawl_2011_100K:http://www.tert.am/am/news/2011/01/13/morinio/index.html lz:hye-am_web_2013_1M:http://gov.am/am/press-kiosk/item/8292/ lz:hye-am_web_2013_1M:http://www.ysu.am/main/en/5lKqGoXxLJ4jX25gsUNAB01dKT lz:hye-am_web_2017_1M:http://www.yerkir.am/news/view/122156.html lz:hye-am_web_2017_1M:http://www.finport.am/search.php?pagenum=3=1=+IPO=1 tat:2869012 tat:3620784 web:aravot.am:https://www.aravot.am/ web:aravot.am:https://www.aravot.am/about/ web:azatutyun.am:https://azatutyun.am/a/33862954.html web:azatutyun.am:https://azatutyun.am/a/33863010.html web:granish.org:https://granish.org/ears-cut-off/ web:granish.org:https://granish.org/apple-worm/ web:hetq.am:https://hetq.am/hy wiki:hy:800 wiki:hy:1033
ՄԱՍԻՆ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:azatutyun.am,web:granish.org,web:hetq.am,wiki:hy	3318,546,16042,11633,634,644,37,1637,5,193035	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/am/news/2011/01/02/egypt/index.html lz:hye_newscrawl_2011_100K:http://www.tert.am/hy/world/2011/04/11/index43b3.html lz:hye-am_web_2013_1M:http://orakarg.am/2012/03/23/rihanna/ lz:hye-am_web_2013_1M:http://operativ.am/?p=82167/1993%D5%A9-%D5%AB-%D5%B0%D5%B8%D6%82%D5%B6%D5%AB%D5%BD-27-%D5%B0%D5%A1%D5%B5%D5%AF%D5%A1%D5%AF%D5%A1%D5%B6-%D5%A6%D5%AB%D5%B6%D5%BE%D5%A1%D5%AE-%D5%B8%D6%82%D5%AA%D5%A5%D6%80%D5%B6-%D5%A1%D5%A6%D5%A1%D5%BF%D5%A1%D5%A3%D6%80%D5% lz:hye-am_web_2017_1M:https://armeniasputnik.am/photo/20161016/5182305/haykakan-mamul.html lz:hye-am_web_2017_1M:http://www.arminfo.am/index.cfm?objectid=1FC89DA0-7868-11E3-B0F90EB7C0D21663 tat:439379 tat:1518868 web:aravot.am:https://www.aravot.am/ web:aravot.am:https://www.aravot.am/about/ web:azatutyun.am:https://azatutyun.am/a/33862954.html web:azatutyun.am:https://azatutyun.am/a/33862866.html web:granish.org:https://granish.org/ears-cut-off/ web:granish.org:https://granish.org/apple-worm/ web:hetq.am:https://hetq.am/hy wiki:hy:800 wiki:hy:1033
ԿԱՐՈՂ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:azatutyun.am,web:granish.org,web:hetq.am,wiki:hy	1596,359,10510,6591,1459,2441,32,1492,5,190294	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/am/news/2011/02/10/concert/index.html lz:hye_newscrawl_2011_100K:http://www.tert.am/am/news/2011/05/03/police/index43b3.html lz:hye-am_web_2013_1M:http://www.list.am/item/2778535 lz:hye-am_web_2013_1M:http://www.ffa.am/ru/1380716191/page/8 lz:hye-am_web_2017_1M:http://www.qahana.am/am/holidays/2020-06-16/1 lz:hye-am_web_2017_1M:http://success.am/2012/08/05/%d5%b3%d5%a1%d5%b6%d5%a1%d5%ba%d5%a1%d6%80%d5%b0-%d5%a4%d5%a5%d5%ba%d5%ab-%d5%a5%d6%80%d5%bb%d5%a1%d5%b6%d5%af%d5%b8%d6%82%d5%a9%d5%b5%d5%b8%d6%82%d5%b6/ tat:2849612 tat:2849613 web:aravot.am:https://www.aravot.am/ web:aravot.am:https://www.aravot.am/about/ web:azatutyun.am:https://azatutyun.am/a/33862954.html web:azatutyun.am:https://azatutyun.am/a/33861023.html web:granish.org:https://granish.org/ears-cut-off/ web:granish.org:https://granish.org/apple-worm/ web:hetq.am:https://hetq.am/hy wiki:hy:800 wiki:hy:1055
ԻՆՉ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:azatutyun.am,web:granish.org,web:hetq.am,wiki:hy	1565,436,7895,4631,1812,512,15,2552,3,40319	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/am/news/2011/04/06/government/index.html lz:hye_newscrawl_2011_100K:http://www.tert.am/hy/world/2011/05/06/index43b3.html lz:hye-am_web_2013_1M:http://imarajark.am/make-Suzuki/color-Green/1/listings.html lz:hye-am_web_2013_1M:http://www.ffa.am/ru/1380716191/page/8 lz:hye-am_web_2017_1M:http://mnews.am/politics/%d5%b0%d5%b0%d5%af-%d5%a3%d5%a5%d6%80%d5%a1%d5%a3%d5%b8%d6%82%d5%b5%d5%b6-%d5%b4%d5%a1%d6%80%d5%b4%d5%b6%d5%ab-%d5%a5%d6%80%d5%a5%d5%af%d5%be%d5%a1-%d5%b6%d5%ab%d5%bd%d5%bf%d5%b8%d6%82%d5%b4-%d6%84.html lz:hye-am_web_2017_1M:http://www.ilur.am/news/view/51366.html tat:2869012 tat:2869407 web:aravot.am:https://www.aravot.am/ web:aravot.am:https://www.aravot.am/about/ web:azatutyun.am:https://azatutyun.am/a/33863010.html web:azatutyun.am:https://azatutyun.am/a/33861023.html web:granish.org:https://granish.org/ears-cut-off/ web:granish.org:https://granish.org/apple-worm/ web:hetq.am:https://hetq.am/hy wiki:hy:800 wiki:hy:1042
ԻՆՁ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:granish.org,wiki:hy	1306,136,3870,1991,2598,37,2363,9141	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/hy/business/indexcabd.html lz:hye_newscrawl_2011_100K:http://www.tert.am/hy/event/2011/02/09/index.html lz:hye-am_web_2013_1M:http://imarajark.am/make-Suzuki/color-Green/1/listings.html lz:hye-am_web_2013_1M:http://www.tert.am/am/news/2014/05/19/kadirov-football/ lz:hye-am_web_2017_1M:http://asekose.am/hy_AM/news/11/117659--.html lz:hye-am_web_2017_1M:http://www.digitech.mskh.am/tr/node/34406 tat:2849672 tat:2853803 web:aravot.am:https://www.aravot.am/karmir-gits/ web:aravot.am:https://www.aravot.am/topic-of-the-day/ web:granish.org:https://granish.org/%d0%b6%d1%83%d1%80%d0%bd%d0%b0%d0%bb-%d1%8e%d0%bd%d0%be%d1%81%d1%82%d1%8c/ web:granish.org:https://granish.org/%d5%b6%d5%b8%d6%80%d5%a1%d5%b5%d6%80-%d5%a1%d5%a4%d5%a1%d5%ac%d5%b5%d5%a1%d5%b6-%d5%bd%d6%87-%d6%84%d5%a1%d5%bc%d5%a1%d5%af%d5%b8%d6%82%d5%bd%d5%ab-%d5%af%d5%a1%d6%80%d5%b4%d5%ab%d6%80-%d5%a1%d5%b6/ wiki:hy:1079 wiki:hy:1091
ՇԱՏ	ia,lz:hye_newscrawl_2011_100K,lz:hye-am_web_2013_1M,lz:hye-am_web_2017_1M,tat,web:aravot.am,web:azatutyun.am,web:granish.org,wiki:hy	2438,392,8055,4637,1248,1180,17,1863,110945	ia:Abeghyan1967Erker02Knarakan/Abeghyan_1967_Erker02_Knarakan_djvu.txt ia:Abrahamyan/Abrahamyan_djvu.txt lz:hye_newscrawl_2011_100K:http://www.tert.am/hy/news/2011/02/11/galstyan2/index43b3.html lz:hye_newscrawl_2011_100K:http://www.tert.am/hy/press-digest/2011/01/13/index.html lz:hye-am_web_2013_1M:http://armlur.am/12999/?s= lz:hye-am_web_2013_1M:http://www.armversion.am/2012/11/08/%d5%b4%d5%b5%d5%a1%d5%bd%d5%b6%d5%ab%d5%af%d5%b5%d5%a1%d5%b6-%d5%ba%d5%b8%d5%b2%d5%b8%d5%bf%d5%a1%d5%b5%d5%b8%d6%82%d5%b4-%d6%86%d5%b8%d5%ac%d6%81%d5%bd%d5%be%d5%a1%d5%a3%d5%a5%d5%b6-%d5%a3/ lz:hye-am_web_2017_1M:http://www.yerkir.am/news/view/122156.html lz:hye-am_web_2017_1M:http://www.copypaste.am/2011/01/24/%d5%bd%d5%a1-%d5%af%d5%b8%d5%b9%d5%be%d5%b8%d6%82%d5%b4-%d5%a7-%d6%83%d5%b2%d5%a1%d5%ad%d5%bf/ tat:1443645 tat:2850235 web:aravot.am:https://www.aravot.am/ web:aravot.am:https://www.aravot.am/about/ web:azatutyun.am:https://azatutyun.am/a/33862954.html web:azatutyun.am:https://azatutyun.am/a/33861023.html web:granish.org:https://granish.org/ears-cut-off/ web:granish.org:https://granish.org/apple-worm/ wiki:hy:800 wiki:hy:1032
